division_id,division_name,province,trends_geo
1001,Division No.  1,Newfoundland and Labrador,CA-NL
1002,Division No.  2,Newfoundland and Labrador,CA-NL
1003,Division No.  3,Newfoundland and Labrador,CA-NL
1004,Division No.  4,Newfoundland and Labrador,CA-NL
1005,Division No.  5,Newfoundland and Labrador,CA-NL
1006,Division No.  6,Newfoundland and Labrador,CA-NL
1007,Division No.  7,Newfoundland and Labrador,CA-NL
1008,Division No.  8,Newfoundland and Labrador,CA-NL
1009,Division No.  9,Newfoundland and Labrador,CA-NL
1010,Division No. 10,Newfoundland and Labrador,CA-NL
1011,Division No. 11,Newfoundland and Labrador,CA-NL
1101,Kings,Prince Edward Island,CA-PE
1102,Queens,Prince Edward Island,CA-PE
1103,Prince,Prince Edward Island,CA-PE
1201,Shelburne,Nova Scotia,CA-NS
1202,Yarmouth,Nova Scotia,CA-NS
1203,Digby,Nova Scotia,CA-NS
1204,Queens,Nova Scotia,CA-NS
1205,Annapolis,Nova Scotia,CA-NS
1206,Lunenburg,Nova Scotia,CA-NS
1207,Kings,Nova Scotia,CA-NS
1208,Hants,Nova Scotia,CA-NS
1209,Halifax,Nova Scotia,CA-NS
1210,Colchester,Nova Scotia,CA-NS
1211,Cumberland,Nova Scotia,CA-NS
1212,Pictou,Nova Scotia,CA-NS
1213,Guysborough,Nova Scotia,CA-NS
1214,Antigonish,Nova Scotia,CA-NS
1215,Inverness,Nova Scotia,CA-NS
1216,Richmond,Nova Scotia,CA-NS
1217,Cape Breton,Nova Scotia,CA-NS
1218,Victoria,Nova Scotia,CA-NS
1301,Saint John,New Brunswick,CA-NB
1302,Charlotte,New Brunswick,CA-NB
1303,Sunbury,New Brunswick,CA-NB
1304,Queens,New Brunswick,CA-NB
1305,Kings,New Brunswick,CA-NB
1306,Albert,New Brunswick,CA-NB
1307,Westmorland,New Brunswick,CA-NB
1308,Kent,New Brunswick,CA-NB
1309,Northumberland,New Brunswick,CA-NB
1310,York,New Brunswick,CA-NB
1311,Carleton,New Brunswick,CA-NB
1312,Victoria,New Brunswick,CA-NB
1313,Madawaska,New Brunswick,CA-NB
1314,Restigouche,New Brunswick,CA-NB
1315,Gloucester,New Brunswick,CA-NB
2401,Communauté maritime des Îles-de-la-Madeleine,Quebec,CA-QC
2402,Le Rocher-Percé,Quebec,CA-QC
2403,La Côte-de-Gaspé,Quebec,CA-QC
2404,La Haute-Gaspésie,Quebec,CA-QC
2405,Bonaventure,Quebec,CA-QC
2406,Avignon,Quebec,CA-QC
2407,La Matapédia,Quebec,CA-QC
2408,La Matanie,Quebec,CA-QC
2409,La Mitis,Quebec,CA-QC
2410,Rimouski-Neigette,Quebec,CA-QC
2411,Les Basques,Quebec,CA-QC
2412,Rivière-du-Loup,Quebec,CA-QC
2413,Témiscouata,Quebec,CA-QC
2414,Kamouraska,Quebec,CA-QC
2415,Charlevoix-Est,Quebec,CA-QC
2416,Charlevoix,Quebec,CA-QC
2417,L'Islet,Quebec,CA-QC
2418,Montmagny,Quebec,CA-QC
2419,Bellechasse,Quebec,CA-QC
2420,L'Île-d'Orléans,Quebec,CA-QC
2421,La Côte-de-Beaupré,Quebec,CA-QC
2422,La Jacques-Cartier,Quebec,CA-QC
2423,Québec,Quebec,CA-QC
2425,Lévis,Quebec,CA-QC
2426,La Nouvelle-Beauce,Quebec,CA-QC
2427,Robert-Cliche,Quebec,CA-QC
2428,Les Etchemins,Quebec,CA-QC
2429,Beauce-Sartigan,Quebec,CA-QC
2430,Le Granit,Quebec,CA-QC
2431,Les Appalaches,Quebec,CA-QC
2432,L'Érable,Quebec,CA-QC
2433,Lotbinière,Quebec,CA-QC
2434,Portneuf,Quebec,CA-QC
2435,Mékinac,Quebec,CA-QC
2436,Shawinigan,Quebec,CA-QC
2437,Francheville,Quebec,CA-QC
2438,Bécancour,Quebec,CA-QC
2439,Arthabaska,Quebec,CA-QC
2440,Les Sources,Quebec,CA-QC
2441,Le Haut-Saint-François,Quebec,CA-QC
2442,Le Val-Saint-François,Quebec,CA-QC
2443,Sherbrooke,Quebec,CA-QC
2444,Coaticook,Quebec,CA-QC
2445,Memphrémagog,Quebec,CA-QC
2446,Brome-Missisquoi,Quebec,CA-QC
2447,La Haute-Yamaska,Quebec,CA-QC
2448,Acton,Quebec,CA-QC
2449,Drummond,Quebec,CA-QC
2450,Nicolet-Yamaska,Quebec,CA-QC
2451,Maskinongé,Quebec,CA-QC
2452,D'Autray,Quebec,CA-QC
2453,Pierre-De Saurel,Quebec,CA-QC
2454,Les Maskoutains,Quebec,CA-QC
2455,Rouville,Quebec,CA-QC
2456,Le Haut-Richelieu,Quebec,CA-QC
2457,La Vallée-du-Richelieu,Quebec,CA-QC
2458,Longueuil,Quebec,CA-QC
2459,Marguerite-D'Youville,Quebec,CA-QC
2460,L'Assomption,Quebec,CA-QC
2461,Joliette,Quebec,CA-QC
2462,Matawinie,Quebec,CA-QC
2463,Montcalm,Quebec,CA-QC
2464,Les Moulins,Quebec,CA-QC
2465,Laval,Quebec,CA-QC
2466,Montréal,Quebec,CA-QC
2467,Roussillon,Quebec,CA-QC
2468,Les Jardins-de-Napierville,Quebec,CA-QC
2469,Le Haut-Saint-Laurent,Quebec,CA-QC
2470,Beauharnois-Salaberry,Quebec,CA-QC
2471,Vaudreuil-Soulanges,Quebec,CA-QC
2472,Deux-Montagnes,Quebec,CA-QC
2473,Thérèse-De Blainville,Quebec,CA-QC
2474,Mirabel,Quebec,CA-QC
2475,La Rivière-du-Nord,Quebec,CA-QC
2476,Argenteuil,Quebec,CA-QC
2477,Les Pays-d'en-Haut,Quebec,CA-QC
2478,Les Laurentides,Quebec,CA-QC
2479,Antoine-Labelle,Quebec,CA-QC
2480,Papineau,Quebec,CA-QC
2481,Gatineau,Quebec,CA-QC
2482,Les Collines-de-l'Outaouais,Quebec,CA-QC
2483,La Vallée-de-la-Gatineau,Quebec,CA-QC
2484,Pontiac,Quebec,CA-QC
2485,Témiscamingue,Quebec,CA-QC
2486,Rouyn-Noranda,Quebec,CA-QC
2487,Abitibi-Ouest,Quebec,CA-QC
2488,Abitibi,Quebec,CA-QC
2489,La Vallée-de-l'Or,Quebec,CA-QC
2490,La Tuque,Quebec,CA-QC
2491,Le Domaine-du-Roy,Quebec,CA-QC
2492,Maria-Chapdelaine,Quebec,CA-QC
2493,Lac-Saint-Jean-Est,Quebec,CA-QC
2494,Le Saguenay-et-son-Fjord,Quebec,CA-QC
2495,La Haute-Côte-Nord,Quebec,CA-QC
2496,Manicouagan,Quebec,CA-QC
2497,Sept-Rivières--Caniapiscau,Quebec,CA-QC
2498,Minganie--Le Golfe-du-Saint-Laurent,Quebec,CA-QC
2499,Nord-du-Québec,Quebec,CA-QC
3501,"Stormont, Dundas and Glengarry",Ontario,CA-ON
3502,Prescott and Russell,Ontario,CA-ON
3506,Ottawa,Ontario,CA-ON
3507,Leeds and Grenville,Ontario,CA-ON
3509,Lanark,Ontario,CA-ON
3510,Frontenac,Ontario,CA-ON
3511,Lennox and Addington,Ontario,CA-ON
3512,Hastings,Ontario,CA-ON
3513,Prince Edward,Ontario,CA-ON
3514,Northumberland,Ontario,CA-ON
3515,Peterborough,Ontario,CA-ON
3516,Kawartha Lakes,Ontario,CA-ON
3518,Durham,Ontario,CA-ON
3519,York,Ontario,CA-ON
3520,Toronto,Ontario,CA-ON
3521,Peel,Ontario,CA-ON
3522,Dufferin,Ontario,CA-ON
3523,Wellington,Ontario,CA-ON
3524,Halton,Ontario,CA-ON
3525,Hamilton,Ontario,CA-ON
3526,Niagara,Ontario,CA-ON
3528,Haldimand-Norfolk,Ontario,CA-ON
3529,Brant,Ontario,CA-ON
3530,Waterloo,Ontario,CA-ON
3531,Perth,Ontario,CA-ON
3532,Oxford,Ontario,CA-ON
3534,Elgin,Ontario,CA-ON
3536,Chatham-Kent,Ontario,CA-ON
3537,Essex,Ontario,CA-ON
3538,Lambton,Ontario,CA-ON
3539,Middlesex,Ontario,CA-ON
3540,Huron,Ontario,CA-ON
3541,Bruce,Ontario,CA-ON
3542,Grey,Ontario,CA-ON
3543,Simcoe,Ontario,CA-ON
3544,Muskoka,Ontario,CA-ON
3546,Haliburton,Ontario,CA-ON
3547,Renfrew,Ontario,CA-ON
3548,Nipissing,Ontario,CA-ON
3549,Parry Sound,Ontario,CA-ON
3551,Manitoulin,Ontario,CA-ON
3552,Sudbury,Ontario,CA-ON
3553,Greater Sudbury / Grand Sudbury,Ontario,CA-ON
3554,Timiskaming,Ontario,CA-ON
3556,Cochrane,Ontario,CA-ON
3557,Algoma,Ontario,CA-ON
3558,Thunder Bay,Ontario,CA-ON
3559,Rainy River,Ontario,CA-ON
3560,Kenora,Ontario,CA-ON
4601,Division No.  1,Manitoba,CA-MB
4602,Division No.  2,Manitoba,CA-MB
4603,Division No.  3,Manitoba,CA-MB
4604,Division No.  4,Manitoba,CA-MB
4605,Division No.  5,Manitoba,CA-MB
4606,Division No.  6,Manitoba,CA-MB
4607,Division No.  7,Manitoba,CA-MB
4608,Division No.  8,Manitoba,CA-MB
4609,Division No.  9,Manitoba,CA-MB
4610,Division No. 10,Manitoba,CA-MB
4611,Division No. 11,Manitoba,CA-MB
4612,Division No. 12,Manitoba,CA-MB
4613,Division No. 13,Manitoba,CA-MB
4614,Division No. 14,Manitoba,CA-MB
4615,Division No. 15,Manitoba,CA-MB
4616,Division No. 16,Manitoba,CA-MB
4617,Division No. 17,Manitoba,CA-MB
4618,Division No. 18,Manitoba,CA-MB
4619,Division No. 19,Manitoba,CA-MB
4620,Division No. 20,Manitoba,CA-MB
4621,Division No. 21,Manitoba,CA-MB
4622,Division No. 22,Manitoba,CA-MB
4623,Division No. 23,Manitoba,CA-MB
4701,Division No.  1,Saskatchewan,CA-SK
4702,Division No.  2,Saskatchewan,CA-SK
4703,Division No.  3,Saskatchewan,CA-SK
4704,Division No.  4,Saskatchewan,CA-SK
4705,Division No.  5,Saskatchewan,CA-SK
4706,Division No.  6,Saskatchewan,CA-SK
4707,Division No.  7,Saskatchewan,CA-SK
4708,Division No.  8,Saskatchewan,CA-SK
4709,Division No.  9,Saskatchewan,CA-SK
4710,Division No. 10,Saskatchewan,CA-SK
4711,Division No. 11,Saskatchewan,CA-SK
4712,Division No. 12,Saskatchewan,CA-SK
4713,Division No. 13,Saskatchewan,CA-SK
4714,Division No. 14,Saskatchewan,CA-SK
4715,Division No. 15,Saskatchewan,CA-SK
4716,Division No. 16,Saskatchewan,CA-SK
4717,Division No. 17,Saskatchewan,CA-SK
4718,Division No. 18,Saskatchewan,CA-SK
4801,Division No.  1,Alberta,CA-AB
4802,Division No.  2,Alberta,CA-AB
4803,Division No.  3,Alberta,CA-AB
4804,Division No.  4,Alberta,CA-AB
4805,Division No.  5,Alberta,CA-AB
4806,Division No.  6,Alberta,CA-AB
4807,Division No.  7,Alberta,CA-AB
4808,Division No.  8,Alberta,CA-AB
4809,Division No.  9,Alberta,CA-AB
4810,Division No. 10,Alberta,CA-AB
4811,Division No. 11,Alberta,CA-AB
4812,Division No. 12,Alberta,CA-AB
4813,Division No. 13,Alberta,CA-AB
4814,Division No. 14,Alberta,CA-AB
4815,Division No. 15,Alberta,CA-AB
4816,Division No. 16,Alberta,CA-AB
4817,Division No. 17,Alberta,CA-AB
4818,Division No. 18,Alberta,CA-AB
4819,Division No. 19,Alberta,CA-AB
5901,East Kootenay,British Columbia,CA-BC
5903,Central Kootenay,British Columbia,CA-BC
5905,Kootenay Boundary,British Columbia,CA-BC
5907,Okanagan-Similkameen,British Columbia,CA-BC
5909,Fraser Valley,British Columbia,CA-BC
5915,Greater Vancouver,British Columbia,CA-BC
5917,Capital,British Columbia,CA-BC
5919,Cowichan Valley,British Columbia,CA-BC
5921,Nanaimo,British Columbia,CA-BC
5923,Alberni-Clayoquot,British Columbia,CA-BC
5924,Strathcona,British Columbia,CA-BC
5926,Comox Valley,British Columbia,CA-BC
5927,Powell River,British Columbia,CA-BC
5929,Sunshine Coast,British Columbia,CA-BC
5931,Squamish-Lillooet,British Columbia,CA-BC
5933,Thompson-Nicola,British Columbia,CA-BC
5935,Central Okanagan,British Columbia,CA-BC
5937,North Okanagan,British Columbia,CA-BC
5939,Columbia-Shuswap,British Columbia,CA-BC
5941,Cariboo,British Columbia,CA-BC
5943,Mount Waddington,British Columbia,CA-BC
5945,Central Coast,British Columbia,CA-BC
5947,Skeena-Queen Charlotte,British Columbia,CA-BC
5949,Kitimat-Stikine,British Columbia,CA-BC
5951,Bulkley-Nechako,British Columbia,CA-BC
5953,Fraser-Fort George,British Columbia,CA-BC
5955,Peace River,British Columbia,CA-BC
5957,Stikine,British Columbia,CA-BC
5959,Northern Rockies,British Columbia,CA-BC
6001,Yukon,Yukon,CA-YT
6101,Region 1,Northwest Territories,CA-NT
6102,Region 2,Northwest Territories,CA-NT
6103,Region 3,Northwest Territories,CA-NT
6104,Region 4,Northwest Territories,CA-NT
6105,Region 5,Northwest Territories,CA-NT
6106,Region 6,Northwest Territories,CA-NT
6204,Qikiqtaaluk,Nunavut,CA-NU
6205,Kivalliq,Nunavut,CA-NU
6208,Kitikmeot,Nunavut,CA-NU
