state,dma_code,county_fips,county_name,dma_name
AL,698,01001,Autauga,Montgomery
AL,686,01003,Baldwin,Mobile-Pensacola
AL,522,01005,Barbour,"Columbus, Ga"
AL,630,01007,Bibb,Birmingham
AL,630,01009,Blount,Birmingham
AL,698,01011,Bullock,Montgomery
AL,698,01013,Butler,Montgomery
AL,630,01015,Calhoun,Birmingham
AL,522,01017,Chambers,"Columbus, Ga"
AL,630,01019,Cherokee,Birmingham
AL,630,01021,Chilton,Birmingham
AL,711,01023,Choctaw,Meridian
AL,686,01025,Clarke,Mobile-Pensacola
AL,630,01027,Clay,Birmingham
AL,524,01029,Cleburne,Atlanta
AL,606,01031,Coffee,Dothan
AL,691,01033,Colbert,Huntsville-Decatur-Florence
AL,686,01035,Conecuh,Mobile-Pensacola
AL,630,01037,Coosa,Birmingham
AL,698,01039,Covington,Montgomery
AL,698,01041,Crenshaw,Montgomery
AL,630,01043,Cullman,Birmingham
AL,606,01045,Dale,Dothan
AL,698,01047,Dallas,Montgomery
AL,691,01049,De Kalb,Huntsville-Decatur-Florence
AL,698,01051,Elmore,Montgomery
AL,686,01053,Escambia,Mobile-Pensacola
AL,630,01055,Etowah,Birmingham
AL,630,01057,Fayette,Birmingham
AL,691,01059,Franklin,Huntsville-Decatur-Florence
AL,606,01061,Geneva,Dothan
AL,630,01063,Greene,Birmingham
AL,630,01065,Hale,Birmingham
AL,606,01067,Henry,Dothan
AL,606,01069,Houston,Dothan
AL,691,01071,Jackson,Huntsville-Decatur-Florence
AL,630,01073,Jefferson,Birmingham
AL,673,01075,Lamar,Columbus-Tupelo-West Point
AL,691,01077,Lauderdale,Huntsville-Decatur-Florence
AL,691,01079,Lawrence,Huntsville-Decatur-Florence
AL,522,01081,Lee,"Columbus, Ga"
AL,691,01083,Limestone,Huntsville-Decatur-Florence
AL,698,01085,Lowndes,Montgomery
AL,698,01087,Macon,Montgomery
AL,691,01089,Madison,Huntsville-Decatur-Florence
AL,698,01091,Marengo,Montgomery
AL,630,01093,Marion,Birmingham
AL,691,01095,Marshall,Huntsville-Decatur-Florence
AL,686,01097,Mobile,Mobile-Pensacola
AL,686,01099,Monroe,Mobile-Pensacola
AL,698,01101,Montgomery,Montgomery
AL,691,01103,Morgan,Huntsville-Decatur-Florence
AL,698,01105,Perry,Montgomery
AL,630,01107,Pickens,Birmingham
AL,698,01109,Pike,Montgomery
AL,524,01111,Randolph,Atlanta
AL,522,01113,Russell,"Columbus, Ga"
AL,630,01115,Saint Clair,Birmingham
AL,630,01117,Shelby,Birmingham
AL,711,01119,Sumter,Meridian
AL,630,01121,Talladega,Birmingham
AL,698,01123,Tallapoosa,Montgomery
AL,630,01125,Tuscaloosa,Birmingham
AL,630,01127,Walker,Birmingham
AL,686,01129,Washington,Mobile-Pensacola
AL,698,01131,Wilcox,Montgomery
AL,630,01133,Winston,Birmingham
AK,0,02013,Aleutians East,(Non-Dma Counties)
AK,0,02016,Aleutians West,(Non-Dma Counties)
AK,743,02020,Anchorage,Anchorage
AK,0,02050,Bethel,(Non-Dma Counties)
AK,0,02060,Bristol Bay,(Non-Dma Counties)
AK,0,02068,Denali,(Non-Dma Counties)
AK,0,02070,Dillingham,(Non-Dma Counties)
AK,745,02090,Fairbanks North Star,Fairbanks
AK,0,02100,Haines,(Non-Dma Counties)
AK,747,02110,Juneau,Juneau
AK,743,02122,Kenai Peninsula,Anchorage
AK,0,02130,Ketchikan Gateway,(Non-Dma Counties)
AK,0,02150,Kodiak Island,(Non-Dma Counties)
AK,0,02164,Lake and Peninsula,(Non-Dma Counties)
AK,743,02170,Matanuska Susitna,Anchorage
AK,0,02180,Nome,(Non-Dma Counties)
AK,0,02185,North Slope,(Non-Dma Counties)
AK,0,02188,Northwest Arctic,(Non-Dma Counties)
AK,0,02201,Prince Wales Ketchikan,(Non-Dma Counties)
AK,0,02220,Sitka,(Non-Dma Counties)
AK,0,02232,Skagway Hoonah Angoon,(Non-Dma Counties)
AK,0,02240,Southeast Fairbanks,(Non-Dma Counties)
AK,0,02261,Valdez Cordova,(Non-Dma Counties)
AK,0,02270,Wade Hampton,(Non-Dma Counties)
AK,0,02280,Wrangell Petersburg,(Non-Dma Counties)
AK,0,02282,Yakutat,(Non-Dma Counties)
AK,0,02290,Yukon Koyukuk,(Non-Dma Counties)
AZ,790,04001,Apache,Albuquerque-Santa Fe
AZ,789,04003,Cochise,Tucson-Sierra Vista
AZ,753,04005,Coconino,Phoenix
AZ,753,04007,Gila,Phoenix
AZ,753,04009,Graham,Phoenix
AZ,753,04011,Greenlee,Phoenix
AZ,753,04012,La Paz,Phoenix
AZ,753,04013,Maricopa,Phoenix
AZ,753,04015,Mohave,Phoenix
AZ,753,04017,Navajo,Phoenix
AZ,789,04019,Pima,Tucson-Sierra Vista
AZ,753,04021,Pinal,Phoenix
AZ,789,04023,Santa Cruz,Tucson-Sierra Vista
AZ,753,04025,Yavapai,Phoenix
AZ,771,04027,Yuma,Yuma-El Centro
AR,693,05001,Arkansas,Little Rock-Pine Bluff
AR,628,05003,Ashley,Monroe-El Dorado
AR,619,05005,Baxter,"Springfield, Mo"
AR,670,05007,Benton,Fort Smith-Fay-Sprngdl
AR,619,05009,Boone,"Springfield, Mo"
AR,693,05011,Bradley,Little Rock-Pine Bluff
AR,693,05013,Calhoun,Little Rock-Pine Bluff
AR,619,05015,Carroll,"Springfield, Mo"
AR,647,05017,Chicot,Greenwood-Greenville
AR,693,05019,Clark,Little Rock-Pine Bluff
AR,734,05021,Clay,Jonesboro
AR,693,05023,Cleburne,Little Rock-Pine Bluff
AR,693,05025,Cleveland,Little Rock-Pine Bluff
AR,612,05027,Columbia,Shreveport
AR,693,05029,Conway,Little Rock-Pine Bluff
AR,734,05031,Craighead,Jonesboro
AR,670,05033,Crawford,Fort Smith-Fay-Sprngdl
AR,640,05035,Crittenden,Memphis
AR,640,05037,Cross,Memphis
AR,693,05039,Dallas,Little Rock-Pine Bluff
AR,693,05041,Desha,Little Rock-Pine Bluff
AR,693,05043,Drew,Little Rock-Pine Bluff
AR,693,05045,Faulkner,Little Rock-Pine Bluff
AR,670,05047,Franklin,Fort Smith-Fay-Sprngdl
AR,619,05049,Fulton,"Springfield, Mo"
AR,693,05051,Garland,Little Rock-Pine Bluff
AR,693,05053,Grant,Little Rock-Pine Bluff
AR,734,05055,Greene,Jonesboro
AR,612,05057,Hempstead,Shreveport
AR,693,05059,Hot Spring,Little Rock-Pine Bluff
AR,612,05061,Howard,Shreveport
AR,693,05063,Independence,Little Rock-Pine Bluff
AR,693,05065,Izard,Little Rock-Pine Bluff
AR,693,05067,Jackson,Little Rock-Pine Bluff
AR,693,05069,Jefferson,Little Rock-Pine Bluff
AR,670,05071,Johnson,Fort Smith-Fay-Sprngdl
AR,612,05073,Lafayette,Shreveport
AR,734,05075,Lawrence,Jonesboro
AR,640,05077,Lee,Memphis
AR,693,05079,Lincoln,Little Rock-Pine Bluff
AR,612,05081,Little River,Shreveport
AR,670,05083,Logan,Fort Smith-Fay-Sprngdl
AR,693,05085,Lonoke,Little Rock-Pine Bluff
AR,670,05087,Madison,Fort Smith-Fay-Sprngdl
AR,619,05089,Marion,"Springfield, Mo"
AR,612,05091,Miller,Shreveport
AR,640,05093,Mississippi,Memphis
AR,693,05095,Monroe,Little Rock-Pine Bluff
AR,693,05097,Montgomery,Little Rock-Pine Bluff
AR,693,05099,Nevada,Little Rock-Pine Bluff
AR,619,05101,Newton,"Springfield, Mo"
AR,693,05103,Ouachita,Little Rock-Pine Bluff
AR,693,05105,Perry,Little Rock-Pine Bluff
AR,640,05107,Phillips,Memphis
AR,693,05109,Pike,Little Rock-Pine Bluff
AR,640,05111,Poinsett,Memphis
AR,693,05113,Polk,Little Rock-Pine Bluff
AR,693,05115,Pope,Little Rock-Pine Bluff
AR,693,05117,Prairie,Little Rock-Pine Bluff
AR,693,05119,Pulaski,Little Rock-Pine Bluff
AR,734,05121,Randolph,Jonesboro
AR,640,05123,Saint Francis,Memphis
