team_id,team_name,league,market,search_query,country,google_entity_id
T001,Arizona Cardinals,NFL,Phoenix,Arizona Cardinals NFL,US,/m/0ws7
T002,Atlanta Falcons,NFL,Atlanta,Atlanta Falcons NFL,US,/m/0wsr
T003,Baltimore Ravens,NFL,Baltimore,Baltimore Ravens NFL,US,/m/01ct6
T004,Buffalo Bills,NFL,Buffalo,Buffalo Bills NFL,US,/m/01c_d
T005,Carolina Panthers,NFL,Charlotte,Carolina Panthers NFL,US,/m/01y3c
T006,Chicago Bears,NFL,Chicago,Chicago Bears NFL,US,/m/01y3v
T007,Cincinnati Bengals,NFL,Cincinnati,Cincinnati Bengals NFL,US,/m/01y49
T008,Cleveland Browns,NFL,Cleveland,Cleveland Browns NFL,US,/m/01xvb
T009,Dallas Cowboys,NFL,Dallas,Dallas Cowboys NFL,US,/g/11c5svdtyh
T010,Denver Broncos,NFL,Denver,Denver Broncos NFL,US,/m/0289q
T011,Detroit Lions,NFL,Detroit,Detroit Lions NFL,US,/m/02c_4
T012,Green Bay Packers,NFL,Green Bay,Green Bay Packers NFL,US,/m/03b3j
T013,Houston Texans,NFL,Houston,Houston Texans NFL,US,/m/03lsq
T014,Indianapolis Colts,NFL,Indianapolis,Indianapolis Colts NFL,US,/m/03wnh
T015,Jacksonville Jaguars,NFL,Jacksonville,Jacksonville Jaguars NFL,US,/m/043vc
T016,Kansas City Chiefs,NFL,Kansas City,Kansas City Chiefs NFL,US,/m/0487_
T017,Las Vegas Raiders,NFL,Las Vegas,Las Vegas Raiders NFL,US,/m/05l71
T018,Los Angeles Chargers,NFL,Los Angeles,Los Angeles Chargers NFL,US,/m/06rpd
T019,Los Angeles Rams,NFL,Los Angeles,Los Angeles Rams NFL,US,/m/06x76
T020,Miami Dolphins,NFL,Miami,Miami Dolphins NFL,US,/m/04vn5
T021,Minnesota Vikings,NFL,Minneapolis,Minnesota Vikings NFL,US,/m/051q5
T022,New England Patriots,NFL,Boston,New England Patriots NFL,US,/m/05g3b
T023,New Orleans Saints,NFL,New Orleans,New Orleans Saints NFL,US,/m/05g3v
T024,New York Giants,NFL,New York,New York Giants NFL,US,/m/05gg4
T025,New York Jets,NFL,New York,New York Jets NFL,US,/m/05g49
T026,Philadelphia Eagles,NFL,Philadelphia,Philadelphia Eagles NFL,US,/m/05tg3
T027,Pittsburgh Steelers,NFL,Pittsburgh,Pittsburgh Steelers NFL,US,/m/05tfm
T028,San Francisco 49ers,NFL,San Francisco,San Francisco 49ers NFL,US,/m/06rny
T029,Seattle Seahawks,NFL,Seattle,Seattle Seahawks NFL,US,/m/070xg
T030,Tampa Bay Buccaneers,NFL,Tampa,Tampa Bay Buccaneers NFL,US,/m/07l24
T031,Tennessee Titans,NFL,Nashville,Tennessee Titans NFL,US,/m/07l2m
T032,Washington Commanders,NFL,Washington DC,Washington Commanders NFL,US,/m/084l5
T033,Atlanta Hawks,NBA,Atlanta,Atlanta Hawks NBA,US,/m/0jm64
T034,Boston Celtics,NBA,Boston,Boston Celtics NBA,US,/m/0bwjj
T035,Brooklyn Nets,NBA,New York,Brooklyn Nets NBA,US,/m/0jm3b
T036,Charlotte Hornets,NBA,Charlotte,Charlotte Hornets NBA,US,/m/01k8vh
T037,Chicago Bulls,NBA,Chicago,Chicago Bulls NBA,US,/m/0jm74
T038,Cleveland Cavaliers,NBA,Cleveland,Cleveland Cavaliers NBA,US,/m/0jm7n
T039,Dallas Mavericks,NBA,Dallas,Dallas Mavericks NBA,US,/m/0jmcv
T040,Denver Nuggets,NBA,Denver,Denver Nuggets NBA,US,/m/0jmdb
T041,Detroit Pistons,NBA,Detroit,Detroit Pistons NBA,US,/m/0jm8l
T042,Golden State Warriors,NBA,San Francisco,Golden State Warriors NBA,US,/m/0jmj7
T043,Houston Rockets,NBA,Houston,Houston Rockets NBA,US,/m/0jmfb
T044,Indiana Pacers,NBA,Indianapolis,Indiana Pacers NBA,US,/m/0jm9w
T045,Los Angeles Clippers,NBA,Los Angeles,Los Angeles Clippers NBA,US,/m/0jmk7
T046,Los Angeles Lakers,NBA,Los Angeles,Los Angeles Lakers NBA,US,/m/0jmk7
T047,Memphis Grizzlies,NBA,Memphis,Memphis Grizzlies NBA,US,/m/0jmfv
T048,Miami Heat,NBA,Miami,Miami Heat NBA,US,/m/0jm2v
T049,Milwaukee Bucks,NBA,Milwaukee,Milwaukee Bucks NBA,US,/m/0jmbv
T050,Minnesota Timberwolves,NBA,Minneapolis,Minnesota Timberwolves NBA,US,/m/0jmgb
T051,New Orleans Pelicans,NBA,New Orleans,New Orleans Pelicans NBA,US,/m/0jm6n
T052,New York Knicks,NBA,New York,New York Knicks NBA,US,/m/0jm3v
T053,Oklahoma City Thunder,NBA,Oklahoma City,Oklahoma City Thunder NBA,US,/m/04cxw5b
T054,Orlando Magic,NBA,Orlando,Orlando Magic NBA,US,/m/0jm4b
T055,Philadelphia 76ers,NBA,Philadelphia,Philadelphia 76ers NBA,US,/m/0jm4v
T056,Phoenix Suns,NBA,Phoenix,Phoenix Suns NBA,US,/m/0jml5
T057,Portland Trail Blazers,NBA,Portland,Portland Trail Blazers NBA,US,/m/0jmm4
T058,Sacramento Kings,NBA,Sacramento,Sacramento Kings NBA,US,/m/0jmmn
T059,San Antonio Spurs,NBA,San Antonio,San Antonio Spurs NBA,US,/m/0jmh7
T060,Toronto Raptors,NBA,Toronto,Toronto Raptors NBA,Canada,/m/0jmcb
T061,Utah Jazz,NBA,Salt Lake City,Utah Jazz NBA,US,/m/0jmhr
T062,Washington Wizards,NBA,Washington DC,Washington Wizards NBA,US,/m/0jm5b
T063,Anaheim Ducks,NHL,Anaheim,Anaheim Ducks NHL,US,/m/0jnpc
T064,Boston Bruins,NHL,Boston,Boston Bruins NHL,US,/m/0j2zj
T065,Buffalo Sabres,NHL,Buffalo,Buffalo Sabres NHL,US,/m/0j5m6
T066,Calgary Flames,NHL,Calgary,Calgary Flames NHL,Canada,/m/0jnm_
T067,Carolina Hurricanes,NHL,Raleigh,Carolina Hurricanes NHL,US,/m/0j8cb
T068,Chicago Blackhawks,NHL,Chicago,Chicago Blackhawks NHL,US,/m/0jnlm
T069,Colorado Avalanche,NHL,Denver,Colorado Avalanche NHL,US,/m/0jbqf
T070,Columbus Blue Jackets,NHL,Columbus,Columbus Blue Jackets NHL,US,/m/0jnm2
T071,Dallas Stars,NHL,Dallas,Dallas Stars NHL,US,/m/0jnpv
T072,Detroit Red Wings,NHL,Detroit,Detroit Red Wings NHL,US,/m/02fp3
T073,Edmonton Oilers,NHL,Edmonton,Edmonton Oilers NHL,Canada,/m/0jnmj
T074,Florida Panthers,NHL,Miami,Florida Panthers NHL,US,/m/0j8js
T075,Los Angeles Kings,NHL,Los Angeles,Los Angeles Kings NHL,US,/m/0jmk7
T076,Minnesota Wild,NHL,Minneapolis,Minnesota Wild NHL,US,/m/0jnng
T077,Montreal Canadiens,NHL,Montreal,Montreal Canadiens NHL,Canada,/m/0bszz
T078,Nashville Predators,NHL,Nashville,Nashville Predators NHL,US,/m/0jnr_
T079,New Jersey Devils,NHL,New York,New Jersey Devils NHL,US,/m/0hm2b
T080,New York Islanders,NHL,New York,New York Islanders NHL,US,/m/0hmt3
