county_fips_or_division_id,county_name,dominant_team,dominant_league,dominant_score,runner_up_team,runner_up_score,margin
47011,Bradley,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47007,Bledsoe,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
13047,Catoosa,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
13295,Walker,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
13213,Murray,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
13313,Whitfield,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47107,McMinn,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47115,Marion,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47143,Rhea,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
12077,Liberty,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
12063,Jackson,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
12013,Calhoun,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
12037,Franklin,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
28099,Neshoba,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
01119,Sumter,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
13083,Dade,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47061,Grundy,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47065,Hamilton,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
28101,Newton,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
28023,Clarke,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
47153,Sequatchie,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
12059,Holmes,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
12045,Gulf,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
28069,Kemper,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
12005,Bay,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
28075,Lauderdale,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
37039,Cherokee,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
01023,Choctaw,Alabama Football,College Football,99.0,Mississippi State Football,60.0,39.0
47121,Meigs,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
47139,Polk,Alabama Football,College Football,99.0,LSU Football,20.5,78.5
12131,Walton,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
12133,Washington,Alabama Football,College Football,99.0,Florida State Football,36.0,63.0
53063,Spokane,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16017,Bonner,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53051,Pend Oreille,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53043,Lincoln,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53047,Okanogan,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53075,Whitman,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53001,Adams,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16049,Idaho,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53003,Asotin,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16057,Latah,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16061,Lewis,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16079,Shoshone,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16069,Nez Perce,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16055,Kootenai,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16009,Benewah,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16035,Clearwater,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
16021,Boundary,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53019,Ferry,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53023,Garfield,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
30053,Lincoln,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53025,Grant,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
41063,Wallowa,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53065,Stevens,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
53013,Columbia,Gonzaga Basketball,College Basketball,98.0,Washington Football,26.333333333333332,71.66666666666667
06093,Siskiyou,Oregon Football,College Football,97.0,Washington Football,7.333333333333333,89.66666666666667
53059,Skamania,Oregon Football,College Football,97.0,Washington Football,19.666666666666668,77.33333333333333
53039,Klickitat,Oregon Football,College Football,97.0,Washington Football,19.666666666666668,77.33333333333333
